FID,Id,x,y,area,perimeter
179,0,378161.438402000000000,4410472.343260000500000,11.801981046600000,13.205847434300001
180,0,378158.080982999990000,4410473.140870000200000,16.917961705500002,16.044678404999999
181,0,378160.555738000020000,4410476.923990000000000,13.600497633300000,15.338910407700000
182,0,378157.246466999990000,4410477.491410000200000,13.965921749900000,14.921857403900001
183,0,378171.239764000000000,4410475.767249999600000,20.487552171000001,22.875353420700002
184,0,378157.366136999980000,4410467.221739999900000,30.592019076300002,24.341150625200001
185,0,378155.113932000010000,4410462.656790000400000,9.949251794609999,12.138747866699999
186,0,378150.318703000030000,4410461.866899999800000,14.034699321300000,15.861907858300000
187,0,378147.025438999990000,4410463.530360000200000,10.209366126000001,12.695881882500000
188,0,378147.214926999990000,4410466.351569999900000,12.746160455800000,14.201431961999999
189,0,378152.179470999980000,4410465.611730000000000,20.017796684200000,19.535931413200000
190,0,378152.654711999990000,4410470.387290000000000,20.526221890599999,18.687102149899999
191,0,378148.407765000010000,4410469.979570000400000,14.811577564800000,14.871316197500001
192,0,378152.763275999980000,4410475.976710000100000,39.453019994300000,25.378892209100002
193,0,378144.462857000010000,4410477.440670000400000,15.462620534799999,16.007893231000001
194,0,378142.493722999990000,4410469.288549999700000,12.921719613000000,13.727277181900000
195,0,378145.104618999990000,4410471.507240000200000,13.965921746499999,14.406536350300000
196,0,378141.056138999990000,4410473.656410000300000,25.289659934800000,23.768828824900002
197,0,378137.490442999990000,4410474.088139999700000,10.212274009800000,13.076963221700000
198,0,378140.440065999980000,4410478.135979999800000,16.579894276600001,16.500024023100000
199,0,378148.093723000030000,4410479.081799999800000,24.475139933800001,18.847609331600001
200,0,378132.344061999990000,4410474.017760000200000,15.401016467600000,14.879105144500000
201,0,378128.694552999980000,4410473.219329999800000,15.934245037500000,15.272597185500000
202,0,378132.666996999990000,4410457.296690000200000,13.502918921399999,13.872823942400000
203,0,378122.242399999990000,4410455.413970000100000,18.325935219100000,16.876916371699998
204,0,378123.395874999990000,4410450.874769999600000,27.503346107500001,20.424034842499999
205,0,378131.808158000000000,4410450.423890000200000,23.952720625200001,19.764038646700001
206,0,378130.715138999980000,4410445.675570000000000,15.425775392500000,14.784363884599999
207,0,378133.971339999990000,4410444.930970000100000,9.600303920010001,12.340812980600001
208,0,378136.991247000000000,4410442.901660000000000,7.690818355090000,11.888440988399999
209,0,378139.062019000000000,4410439.569179999600000,11.454693338600000,13.356033977999999
210,0,378140.403463999970000,4410430.390230000000000,19.792883360699999,16.535378226399999
211,0,378137.394946000010000,4410427.924610000100000,18.998189194399998,17.165758195300000
212,0,378121.097100000010000,4410426.163549999700000,7.266479584950000,10.267820905400001
213,0,378117.422402000000000,4410427.498399999900000,14.152134036100000,15.288240158800001
214,0,378118.896214000010000,4410423.926579999700000,12.308837366400001,13.907295042599999
