"","手工质心x","树顶x","手工质心y","树顶y","x差绝对值","y差绝对值","手工面积.算法面积","手工面积","算法面积","相对误差"
"161",378152,378152,4410470,4410470,0.035529,0.11373,2.4078,20.0178,17.61,0.120283
"162",378153,378153,4410470,4410470,0.560288,1.18929,-0.923778,20.5262,21.45,0.0450048
"163",378148,378149,4410470,4410470,0.107235,1.18157,-7.07842,14.8116,21.89,0.477898
"164",378153,378154,4410480,4410480,1.45172,0.42129,-6.78698,39.453,46.24,0.172027
"165",378144,378145,4410480,4410480,0.052143,0.15733,-3.22738,15.4626,18.69,0.208721
"166",378142,378143,4410470,4410470,0.821277,0.39055,0.74172,12.9217,12.18,0.057401
"167",378145,378144,4410470,4410470,0.889619,0.10924,-10.1041,13.9659,24.07,0.723481
"168",378141,378142,4410470,4410470,1.35886,0.05841,-6.05034,25.2897,31.34,0.239242
"169",378132,378132,4410470,4410470,0.229062,0.18024,-5.87898,15.401,21.28,0.381727
"170",378129,378129,4410470,4410470,0.420447,0.17867,-13.4058,15.9342,29.34,0.841317
"171",378133,378133,4410460,4410460,0.348003,0.30131,0.262919,13.5029,13.24,0.0194713
"172",378122,378122,4410460,4410460,0.0726,0.28403,-3.64406,18.3259,21.97,0.198847
"173",378123,378123,4410450,4410450,0.080875,1.07677,20.5233,27.5033,6.98,0.746213
"174",378132,378132,4410450,4410450,0.306842,0.02589,2.13272,23.9527,21.82,0.0890388
"175",378131,378131,4410450,4410450,0.399861,0.02243,-3.89422,15.4258,19.32,0.252449
"176",378134,378134,4410440,4410440,0.04366,0.33297,0.690304,9.6003,8.91,0.0719044
"177",378137,378136,4410440,4410440,1.47625,1.30366,1.62082,7.69082,6.07,0.210747
"178",378139,378139,4410440,4410440,0.247019,0.32882,-9.00531,11.4547,20.46,0.786167
"179",378140,378140,4410430,4410430,0.088464,1.40777,17.0729,19.7929,2.72,0.862577
"180",378137,378136,4410430,4410430,1.57995,0.47339,-7.04181,18.9982,26.04,0.370657
"181",378121,378122,4410430,4410430,1.0179,0.13445,-1.67352,7.26648,8.94,0.230307
"182",378117,378118,4410430,4410430,0.592598,0.1004,-1.31787,14.1521,15.47,0.0931214
"183",378119,378120,4410420,4410420,0.618786,0.47142,-1.22116,12.3088,13.53,0.0992102
